url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/podovi-za-stamparije/;post-sitemap.xml;200;;1;"Podovi za štamparije";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;10;0;167;"Podovi za štamparije | Antas Line";"Podovi za stamparije i industrijske objekte. Kako izabrati odgovarajući pod u štampariji. Ecotile nudi rešenje.";182446;0.86;
http://localhost/antasline/;page-sitemap.xml;200;;1;"Podovi koji izdrže sve";1;0;Place,PostalAddress,ImageObject,WebSite,SearchAction,WebPage,Person,Article;31;0;175;"Početna | Antas Line";"Industrijski, sportski i spoljni podovi: Ecotile ploče sa 25 godina garancije, tereni po FIBA standardima i podloge za terase. Montaža bez zatvaranja pogona.";185710;2.07;
http://localhost/antasline/podovi-za-radnje-i-maloprodajne-objekte/;page-sitemap.xml;200;;1;"Podovi za prodavnice, radnje i maloprodajne objekte";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;17;0;157;"Podovi za prodavnice, radnje i maloprodajne objekte | Antas Line";"R-Tile podne ploče za maloprodajne objekte — brza montaža bez lepka, preko oštećenih podloga. Specifikacija, primena i FAQ.";175512;0.97;
http://localhost/antasline/sportske-podloge/padel-tereni/;page-sitemap.xml;200;;1;"Veštačka trava za padel i tenis";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;10;0;150;"vestacka trava za padel";"Vestacka trava za padel i teniske terene Italijanskog proizvodjaca Sit-in. Isporuka i montaza vestacke trave za padel i tenis.";166668;0.68;
http://localhost/antasline/o-nama/;page-sitemap.xml;200;;1;"AntasLine — Vaš partner za industrijske podove";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;30;0;162;"O AntasLine — Distributeri industrijskih i sportskih podova";"AntasLine je vodeći distributer industrijskih podova, Bergo ploča i sportskih terena u Srbiji, Crnoj Gori, Makedoniji, BiH i Hrvatskoj.";174510;1.92;
http://localhost/antasline/vestacka-trava-za-fudbal/;page-sitemap.xml;200;;1;"Veštačka trava za fudbal i ostale sportove";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;15;0;161;"Veštačka trava za fudbal | Antas Line";"Veštačka trava za fudbalske terene radi se po projektu, prema dimenzijama terena. Lepljene linije u beloj, crvenoj i plavoj boji. Standardi FIFA, ITF i IRB.";172306;1.36;
http://localhost/antasline/sportske-podloge/bergo-ultimate/;page-sitemap.xml;200;;1;"Bergo Ultimate";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;21;0;164;"Bergo Ultimate | Antas Line";"Bergo Ultimate — modularna sportska podloga sa FIBA i ITF sertifikatom za basket, tenis, odbojku i rukomet. Preko 10 boja, brza montaža, 15 godina garancije.";186538;1.54;
http://localhost/antasline/zastitne-podloge-za-travu-i-plocnike/;page-sitemap.xml;200;;1;"Bergo Solid";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;25;0;169;"Zaštitne podloge za travu i pločnike | Antas Line";"Bergo Solid — zaštitne podloge za travu i pločnike, nosivost do 200 t/m². Zaštita terena od teških vozila i ljudi. Zatražite ponudu: 069 234 00 72.";189691;2.24;
http://localhost/antasline/podovi-za-stale/;page-sitemap.xml;200;;1;"Gumeni podovi za štale, za konje i poljoprivredne površine";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;15;0;160;"Gumeni podovi za štale, za konje i poljoprivredne površine | Antas Line";"Gumeni podovi za štale, konje i poljoprivredne površine — Stable i Paddock ploče, velika nosivost, laka montaža. Zatražite ponudu: 069 234 00 72.";176544;1.46;
http://localhost/antasline/pvc-podne-ploce/;page-sitemap.xml;200;;1;"PVC podne ploče";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;26;0;199;"PVC podne ploče — montažni podovi 5, 7 i 10 mm | Antas Line";"PVC podne ploče 500×500 mm spajaju se klik sistemom preko starog betona — bez lepka i bez zaustavljanja pogona. Debljine 5–10 mm, ESD varijanta, garancija do 25 godina.";216994;1.41;
http://localhost/antasline/sportske-podloge/;page-sitemap.xml;200;;1;"Sportski podovi za spoljašnju i unutrašnju upotrebu";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article,VideoObject,Organization;23;0;161;"Sportske podloge za kosarku, basket, 3x3, odbojku, futsal";"Sportske podloge za terene za košarku, basket, odbojku, rukomet, futsal, tenis. Podloga za sportske terene 3x3 po FIBA standardima.";177247;1.44;
http://localhost/antasline/spoljnje-podne-obloge/bergo-elite/;page-sitemap.xml;200;;1;"Bergo Elite — elegantna podloga za terase kafića i poslovne prostore";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article,VideoObject,Organization;19;0;159;"BERGO Elite - podloga za terase kafića | Antas Line";"Bergo Elite terase podloga za kafiće, restorane i poslovne prostore — puna jednobojna PP ploča u 26 boja, brza montaža bez lepka, minimalno održavanje.";180953;1.13;
http://localhost/antasline/spoljnje-podne-obloge/bergo-unique/;page-sitemap.xml;200;;1;"Bergo Unique — elegantna modularna podloga za terase i bašte";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article,VideoObject,Organization;21;0;161;"Bergo Unique – elegantna podloga za terase i bašte | Antas Line";"Bergo Unique – elegantna PVC podloga za terase i bašte, 15 boja, montaža bez lepka klik-sistemom. Pošaljite upit.";182325;1.33;
http://localhost/antasline/spoljnje-podne-obloge/bergo-xl/;page-sitemap.xml;200;;1;"Bergo XL — modularna podloga za terase, bazene i bašte";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article,VideoObject,Organization;15;0;154;"Bergo XL — podloga za terase, bazene i bašte | Antas Line";"Bergo XL modularna podloga sa cvetnim dezenom u 16 boja — montaža bez lepka, klik sistemom. Za terase, bazene, bašte i saune. Pošaljite upit.";174531;0.8;
http://localhost/antasline/industrijski-podovi/;page-sitemap.xml;200;;1;"Industrijski PVC podovi u pločama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article,VideoObject,Organization;23;0;174;"Industrijski PVC podovi — Ecotile, standardi i cena po m²";"Ecotile PVC ploče za magacine, proizvodnju i ESD zone. Standardi, antiklizna klasa R10, VOC E1, montaža bez lepka i zastoja proizvodnje.";184594;1.12;
http://localhost/antasline/podovi-za-garaze/;page-sitemap.xml;200;;1;"Podovi za garaže — vrste i cena po m²";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;7;0;153;"Podovi za garaže — PVC ploče, cena po m² | Antas Line";"Kakav pod za garažu izabrati? PVC klik ploče preko betona — bez lepka i prašine, otporne na ulje i gume. Ugradnja za jedan dan, cena od 4.600 RSD/m². Pogledajte.";167474;0.73;
http://localhost/antasline/lvt-podovi-za-komercijalne-i-javne-prostore/expona-click/;page-sitemap.xml;200;;1;"Expona Click — LVT podovi za kancelarije i poslovne prostore";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;12;0;158;"Expona Click | Antas Line";"LVT podovi za poslovni prostor i kancelarije u dezenima drveta i betona. Klik sistem montaže, zvučna izolacija, otporan na vodu.";170021;0.79;
http://localhost/antasline/lvt-podovi-za-komercijalne-i-javne-prostore/vinil-podovi/;page-sitemap.xml;200;;1;"Expona Commercial — LVT vinil podovi za javne i komercijalne objekte";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;12;0;160;"Expona Commercial | Antas Line";"Podovi za javne objekte koji svojim dizajnom čine prostor drugačijim. Preko 80 dezena, od rustičnih do drvenih motiva. IAC Gold sertifikat.";171381;0.9;
http://localhost/antasline/sportske-podloge/sportski-podovi-za-teniske-terene/;page-sitemap.xml;200;;1;"Izrada teniskih terena — akril, veštačka trava i Bergo ploče";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;8;0;155;"Izrada teniskih terena — US open akril, veštačka trava, Bergo";"Izrada teniskih terena sa akrilnim premazima (US open, ITF 1–4), veštačkom travom i Bergo PP pločama. Reference i upit za cenu: 069 234 00 72.";172865;0.78;
http://localhost/antasline/industrijski-podovi/podovi-za-teretane-i-fitnes-centre/;page-sitemap.xml;200;;1;"Podovi za teretane i fitnes centre";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;23;0;178;"Podovi za teretane i fitnes centre | Antas Line";"Ecotile PVC podovi za teretane i fitnes centre — otporni na udarce tegova, lako se čiste, brza montaža bez prekida rada. Pozovite za ponudu.";204505;0.83;
http://localhost/antasline/industrijski-podovi/podovi-za-zdravstvene-objekte/;page-sitemap.xml;200;;1;"Podovi za zdravstvene objekte";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;22;0;178;"Podovi za zdravstvene objekte | Antas Line";"Ecotile PVC podovi za ordinacije, klinike i zdravstvene ustanove — higijenska površina bez fuga, otporna na dezinfekciona sredstva, brza montaža. Pozovite za ponudu.";205218;0.75;
http://localhost/antasline/industrijski-podovi/podovi-za-hemijsku-i-prehrambenu-industriju/;page-sitemap.xml;200;;1;"Podovi za hemijsku i prehrambenu industriju";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;24;0;181;"Podovi za hemijsku i prehrambenu industriju | Antas Line";"Ecotile PVC podovi za hemijsku i prehrambenu industriju — otporni na kiseline i dezinfekciona sredstva, bez fuga, brza montaža bez prekida proizvodnje. Pozovite za ponudu.";207907;1;
http://localhost/antasline/gumeni-podovi-za-terase-cena/;page-sitemap.xml;200;;1;"Gumeni podovi za terase — cena po m²";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;6;0;156;"Gumeni podovi za terase — cena po m² i vrste | Antas Line";"Koliko koštaju gumeni podovi za terasu? Uporedite gumene, PVC/vinil i Bergo podloge — pošaljite dimenzije i dobijate tačnu cenu po m² za jedan radni dan.";167198;0.67;
http://localhost/antasline/industrijski-podovi-cena/;page-sitemap.xml;200;;1;"Cena industrijskog poda po m² — Ecotile PVC ploče";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,Article;6;0;158;"Industrijski podovi — cena po m² (PVC ploče) | Antas Line";"Koliko košta industrijski pod? Cena Ecotile PVC ploča zavisi od debljine i kvadrature, uz rabat na veće površine. Ugradnja bez zatvaranja pogona. Zatražite ponudu.";169252;0.63;
