search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
epoxy pod cena;epoksid-conquest;4;45;88;0;1;0
cena epoksidne smole za podove;epoksid-conquest;4;20;88;0;1;0
sportski podovi;sport-ostalo;4;20;88;0;0;0
vinil podloge;lvt-vinil-parket;4;32;87;0;0;0
pvc kocke za pod;pvc-plastika;4;23;87;0;0;0
industrijskih podovi;industrijski;4;16;87;0;0;0
podovi za garaze kupujemprodajem;konkurenti;4;17;87;0;1;0
pvc podne obloge za terase;terasa-balkon;5;33;87;0;0;0
gumene podloge za radionice;radionice;4;16;86;0;0;0
pod za garazu cena;garaza-servis;4;24;86;0;0;0
teron podna obloga;konkurenti;6;17;85;0;1;0
vinil za pod;lvt-vinil-parket;4;50;84;0;0;0
ploče za podove;ostalo;4;22;84;0;0;0
industrijski podovi za stanove;industrijski;3;8;84;0;0;0
vinil podne obloge;lvt-vinil-parket;4;35;83;0;0;0
obloge za pod;ostalo;4;10;83;0;0;0
bimeco podovi cena;konkurenti;4;15;82;0;1;0
podne ploče za terasu;terasa-balkon;4;7;82;0;0;0
deking za terase cena;terasa-balkon;3;25;80;0;0;1
sika epoksidni podovi cena;konkurenti;3;17;80;0;1;0
podne plocice za terasu cena;terasa-balkon;4;18;78;0;0;1
pvc samolepljive podne obloge;pvc-plastika;4;16;78;0;0;0
plasticne podloge za terase;terasa-balkon;4;24;77;0;0;0
drvene podloge za terasu;terasa-balkon;5;29;77;0;0;1
epoksidni podovi;epoksid-conquest;3;34;76;0;1;0
trava za terasu cena;fudbal-trava;1;2;76;0;0;0
plastične daske za terasu;terasa-balkon;4;15;75;0;0;0
spc podovi;ostalo;4;63;74;0;0;0
pvc pod za terase;terasa-balkon;3;15;74;0;0;0
pod u garazi;garaza-servis;2;33;72;0;0;0
podovi za hale cena;industrijski;2;10;71;0;0;0
podna obloga za garazu;garaza-servis;3;22;70;0;0;0
epoxy podovi za terase;epoksid-conquest;4;9;70;0;1;0
deking za terasu cena;terasa-balkon;2;7;70;0;0;1
plastične podloge za pod;pvc-plastika;3;25;68;0;0;0
epoxi podovi;epoksid-conquest;3;36;68;0;1;0
podovi cena;ostalo;3;23;67;0;0;0
vinil podovi za terase;terasa-balkon;4;24;67;0;0;0
ploce za terasu;terasa-balkon;4;18;67;0;0;0
pvc podne ploce;pvc-plastika;3;10;66;0;0;0
gumeni podovi;gumeni-podovi;3;12;66;0;0;0
izrada industrijskih podova;industrijski;3;6;66;0;0;0
materijal za podove;ostalo;3;19;66;0;0;0
epoksidna masa za podove;epoksid-conquest;3;14;66;0;1;0
plastična masa za podove;pvc-plastika;3;15;66;0;0;0
izlivanje podova;ostalo;3;58;66;0;1;0
epoksi za podove;epoksid-conquest;3;23;66;0;1;0
epoksidni premaz za beton;epoksid-conquest;3;36;66;0;1;0
pvc brodski pod;pvc-plastika;3;10;66;0;0;0
epoksi pod za garazu;epoksid-conquest;3;21;66;0;1;0
plastika za podove;pvc-plastika;3;19;66;0;0;0
spoljni podovi;ostalo;3;7;66;0;0;0
madera podovi;ostalo;3;10;66;0;0;0
tri de podovi;ostalo;3;12;66;0;0;0
podovi vinil;lvt-vinil-parket;3;21;66;0;0;0
pvc podovi cene;pvc-plastika;3;8;66;0;0;0
elasticni podovi;ostalo;3;34;66;0;0;0
podovi od plastike;pvc-plastika;3;19;66;0;0;0
modularni podovi cena;ostalo;3;20;66;0;0;0
liveni betonski podovi;ostalo;3;9;65;0;1;0
antistatik podovi cena;antistatik-esd;3;33;65;0;0;0
podovi pvc;pvc-plastika;3;15;65;0;0;0
industrijski betonski podovi;industrijski;2;20;65;1;1;0
epoksidni pod cena;epoksid-conquest;3;24;65;0;1;0
puzzle podne obloge za garaže;garaza-servis;3;4;65;0;0;0
podna obloga za terase;terasa-balkon;3;7;64;0;0;0
samoljepljivi podovi;ostalo;3;4;64;0;0;0
plasticne podne obloge;pvc-plastika;3;9;64;0;0;0
poliuretan za podove;epoksid-conquest;3;13;64;0;1;0
