klasa;putanja;http;novi_url;tezina;izvori
OK;/spoljnje-podne-obloge/bergo-unique/;200;;31;"ads: asset 368133951925 [Švedske podloge za terase] (campaign) | ads: asset 368733365855 [Zatražite ponudu] (campaign) | ads: asset 368900942313 [Podovi za terase Unique] (campaign) | ga4 cpc landing"
OK;/industrijski-podovi/industrijski-pod/;200;;19;"ads: asset 186876286413 [Podne ploce za magacine] (campaign) | ads: asset 189888950039 [Podovi za magacine] (campaign) | ads: asset 368758408094 [Podovi Za Magacine] (campaign) | ads: asset 383208984775 [Podovi za hale] (campaign) | ga4 cpc landing"
OK;/spoljnje-podne-obloge/podovi-za-bazene/;200;;15;"ads: asset 15814681946 [Podovi za bazene] (campaign) | ads: asset 368732954279 [Podloge oko bazena] (campaign) | ga4 cpc landing"
OK;/antistatik-i-elektroprovodljivi-podovi/;200;;13;"ads: asset 186876286410 [Antistatik podovi] (campaign) | ads: asset 189889503623 [Antistatik i ESD podovi] (campaign) | ads: asset 368851766347 [Antistatik podovi] (campaign) | ga4 cpc landing"
OK;/;200;;12;"ads: oglas 634245768924 (Sportski podovi - novembar / Ad group 1) | ga4 cpc landing"
OK;/spoljnje-podne-obloge/bergo-elite/;200;;9;"ga4 cpc landing"
OK;/spoljnje-podne-obloge/vestacka-trava-za-terase/;200;;6;"ga4 cpc landing"
OK;/kontakt/;200;;6;"ga4 cpc landing"
OK;/aktuelnosti/;200;;5;"ga4 cpc landing"
OK;/industrijski-podovi/ecotile-5005-podne-ploce/;200;;4;"ads: asset 186876286416 [Podovi za javne objekte] (campaign) | ga4 cpc landing"
OK;/industrijski-podovi/podne-ploce-ecotile-50010/;200;;4;"ads: asset 368928584355 [Pod za velika opterećenja] (campaign) | ga4 cpc landing"
OK;/spoljnje-podne-obloge/bergo-easy/;200;;3;"ga4 cpc landing"
OK;/proizvod/ecotile-e500-7-industrijska-interlocking-ploca-500x500-mm/;200;;3;"ga4 cpc landing"
OK;/industrijski-podovi/garaze-i-autoservisi/;200;;2;"ads: asset 189925343527 [Za garaže i autoservise] (campaign) | ga4 cpc landing"
OK;/sportske-podloge/;200;;2;"ga4 cpc landing"
OK;/lvt-podovi-za-komercijalne-i-javne-prostore/kancelarije-i-poslovni-prostori/;200;;1;"ads: oglas 630683069913 (expona click / Ad group 1) | ads: oglas 411592811924 (podovi za javne objekte / Огласна група бр. 1) | ga4 cpc landing"
OK;/podovi-za-radnje-i-maloprodajne-objekte/;200;;1;"ads: asset 324404563530 [Podovi za supermarkete] (campaign) | ga4 cpc landing"
OK;/category/industrijski-podovi/;200;;1;"ga4 cpc landing"
OK;/industrijski-podovi/podovi-za-maloprodajne-objekte/;200;;1;"ga4 cpc landing"
OK;/koji-pod-postaviti-u-garazu/;200;;1;"ga4 cpc landing"
OK;/o-nama/;200;;1;"ga4 cpc landing"
OK;/podovi-za-radionice/;200;;1;"ga4 cpc landing"
OK;/podovi-za-stale/;200;;1;"ga4 cpc landing"
OK;/prednosti-r-tile-design-podova-u-supermarketima-u-odnosu-na-klasicne-plocice/;200;;1;"ga4 cpc landing"
OK;/vestacka-trava/;200;;1;"ga4 cpc landing"
OK;/zasto-vam-je-potreban-esd-pod/;200;;1;"ga4 cpc landing"
